Song,Film,YearMusic Director,Lyricist,Singers
"अल्लाह मेघ दे, पानी दे,  छाया दे रे रामा मेघ दे
श्यामा मेघ दे
अल्लाह मेघ दे, पानी दे,  छाया दे रे रामा मेघ दे

आँखें फाड़े दुनिया देखे,  हाय ये तमाशा
आँखें फाड़े ...
आँखें फाड़े दुनिया देखे,  हाय ये तमाशा
है ये विशवास तेरा, है तेरी आशा
अल्लाह मेघ दे ...

अल्लाह मेघ दे, पानी दे,  छाया दे रे रामा मेघ दे

 ",Guide,1965,S D Burman,Shailendra,S D Burman
"अल्लाह तेरो नाम, ईश्वर तेरो नाम
सबको सन्मति दे भगवान
अल्लाह तेरो नाम ...

इस धरती का रूप ना उजड़े
प्यार की ठंडी धूप ना उजड़े
सबको मिले, दाता
सबको मिले
सुख का वरदान
सबको सन्मति दे भगवान
अल्लाह तेरो नाम

ओ सारे जग के रखवाले
निर्बल को बल देने वाले
बलवानों को, ऽ
बलवानो को दे दे ज्ञान
सबको सन्मति दे भगवान
अल्लाह तेरो नाम

माँगों का सिन्दूर ना छूटे
माँ बहनों की आस ना टूटे
देह बिना, दाता
देह बिना, भटके ना प्राण
सबको सन्मति दे भगवान
अल्लाह तेरो नाम

 ",Hum Dono,1961,Jaidev,Sahir,"Lata, chorus"
"अल्लाह अल्लाह अल्लाह
अल्लाह-ओ-अकबर -4
तू ही दिल में तू ही ज़ुबां पर
तेरा करम दिन रात हम पर -2
अल्लाह-ओ-अकबर -2
अल्लाह अल्लाह

पल में बनाए पल में मिटाए -2
पल में मिटाए पल में बनाए -2
भेद ये कोई समझ न पाए -2
तू है यहां पर तू है वहां पर -2
तू है यहां पर
अल्लाह-ओ-अकबर ...

( प्यारे मुहम्मद मेरे नबीं हैं
सलल्लाह हो वले ही वसल्लम ) -2
चाहने वाले जिनके सभी हैं -2
कोई नहीं है आपसे बढ़कर -2
अल्लाह-ओ-अकबर ...

शेरे ख़ुदा का नाम जो लेगा
तेरा बिगड़ा काम बनेगा
मांग अली से हाथ उठाकर -2
या अली अल्लाह-ओ-अकबर -2
अल्लाह-ओ-अकबर ...
तू ही दिल में ...

 ",Jaanbaaz,1986,Kalyanji-Anandji,Farooq Kaisar,"Mahesh Gadwi, Raju"
"अल्लाह-ओ-अकबर -2
बनाए जा बिगाड़े जा बिगाड़े जा बनाए जा
कि हम तेरे चिराग़ हैं जलाए जा बुझाए जा -2

हर क़दम पे साथ हैं अँधेरे भी उजाले भी
कैसी तेरे शान है गिराए भी संभाले भी
जो ना कभी देखे वो तमाशे तू दिखाए जा
कि हम तेरे चिराग़ ...

सर पे साया मौत का है और हमको जीना है
अपने हाथों अपने ही दिल के ज़ख़्म सीना है
जो तुझे मंज़ूर है वो काम तू कराए जा
कि हम तेरे चिराग़ ...

माना ये सब खेल है क़िस्मत की लकीरों का
फिर भी तेरे हाथ है फ़ैसला तक़दीरों का
दुनिया की तक़दीरों को जगाए जा सुलाए जा
कि हम तेरे चिराग़ ...

 ",Alibaba And Forty Theives,1966,Usha Khanna,Asad Bhopali,Rafi
"अमन का फ़रिश्ता कहाँ जा रहा है
चमन रो रहा है मची है दुहाई -2

किया काम ऐसा कि हलचल मचा दी
ये दुनिया जहन्नुम थी जन्नत बना दी
खिंची आ रही है सारी ख़ुदाई
चमन रो रहा ...

बहुत देर जागा था सोया हुआ है
अमन के ख़्यालों में खोया हुआ है
ये कैसी मुहब्बत ये कैसी जुदाई
चमन रो रहा ...

ये जीवन की मंज़िल पे छुटा है हमसे
कोईइ तो मनाओ ये रूठा है हमसे
नज़र मेरे बाबू को किसने लगाई
चमन रो रहा ...

 ",Aman,1967,Shankar-Jaikishan,Hasrat,Rafi
"अम्बर की एक पाक सुराही, बादल का एक जाम उठाकर
घूँट चाँदनी पी है हमने, बात कुफ़्र की की है हमने ...

कैसे इसका कर्ज़ चुकाएँ, माँग के अपनी मौत के हाथों
उम्र की चोली सी है हमने, बात कुफ़्र की ...

अपना इसमें कुछ भी नहीं है, रोज़-ए-अदल से उसकी अमानत
उसको वही तो दी है हमने, बात कुफ़्र की ...

----
अम्बर की एक पाक सुराही
बादल का इक जाम उठाये
घूँट चाँदनी पी है हमने

हमने आज ये दुनिया बेची
और एक दीन ख़रीद के लाये
बात कुफ़्र की की है हमने

सपनों का एक थान बुना था
गज एक कपड़ा फाड़ लिया और
उम्र की चोली सी है हमने

कैसे इसका कर्ज़ चुकाऊँ
माँग के अपनी मौत के हाथों
ये जो ज़िंदगी ली है हमने

 ",Kaadambari,1975,Vilayat Ali Khan,Amrita Pritam,Asha
" su - surinder kaur, aa - aashaa, pre - premlata 
 ko - chorus 

सु: अम्बुआ के पेड़ सुहाने
का कहें, का कहें मोसे कौन जाने
को: अम्बुआ के पेड़ सुहाने
का कहें, का कहें मोसे कौन जाने

सु: अम्बुआ के पेड़ झूमें मस्त हवाओं में
आ: तोहे पुकारें, 'री, आजा, होऽऽऽ, आजा
ठंडी ठंडी छाँओं में
कर ले मुहब्बत किसी बहाने'
सु: का कहें, का कहें मोसे कौन जाने
को: अम्बुआ के पेड़ ...

सु: गया बचपना आई जवानी
लेकर आई सौ अरमाँ
प्रे: निकल के रहेंगे सब अरमाँ
धिरज धर लो मेरी जाँ
आ: नैना तिहारे री गोरी होऽऽऽ
गोरी, लगे मुस्काने
दिल का पपीहा भी लगा गाने
सु: का कहें, का कहें मोसे कौन जाने
को: अम्बुआ के पेड़ ...

 ",Sabak,1950,A R Qureshi,D N Madhok,"Surinder Kaur, Asha, Premlata,..."
"अम्बुआ की डारी पे बोले रे कोयलिया
प्रीत न करना अजी, प्रीत न करना जी
बोले रे कोयलिया ...

सुलग सुलग मैं काली भयी
कोयला बनी ना राख
जल जल के मरना अजी, प्रीत न करना जी
बोले रे कोयलिया ...

शहद के अन्दर ज़हर भरा है
पता नहीं वो किस ने किया है
आहें न भरना अजी, प्रीत न करना जी
बोले रे कोयलिया ...

खुशबू से तुम मस्त न होना
काँटों को हाथों से न छूना
फूलों से डरना अजी, प्रीत न करना जी
बोले रे कोयलिया ...

 ",Dahej,1950,Vasant Desai,Shums Lucknowi,Jayshree
"का : ( अम्बूवा की डाली-डाली
 झूम रही है आली ) -2

धु : ( मैं पी कर मद की प्याली
 यूँ चाल चलूँ मतवाली ) -2

का : ( अम्बूवा की डाली-डाली
 झूम रही है आली ) -2
 मतवाली -3

धु : मतवाली -3
 मैं चाल चलूँ मतवाली
का : मैं चाल चलूँ मतवाली
धु : डरा डर डर डर डर डर ड
का : डरा डर डर डर डर डर ड
 मोरे अन्गना में आये आली-आली
 मैं चाल चलूँ मतवाली

 झूम रही है आली
 अम्बूवा की डाली
 झूम रही है आली
 अम्बूवा की डाली
 ( अम्बूवा की डाली-डाली
 झूम रही है आली ) -2

दो : मतवाली -3
 मतवाली -3
 मैं चाल चलूँ मतवाली -2
 मोरे अन्गना में आये आली-आली
 मैं चाल चलूँ मतवाली
 झूम रही है आली
 अम्बूवा की डाली
 झूम रही है आली
 अम्बूवा की डाली
 अम्बूवा की डाली-डाली
 झूम रही है आली

 ",Vidyapati,1937,R C Boral,Kedar Sharma,"Kanan Devi, Dhumi Khan"
"( अम्बुवा पे गाए कोयलिया गाने
आ मोरे बालम किसी बहाने ) -2

( मैं मजबूर भई दिल मजबूर मेरा
तोहे मैं प्यार करूँ इतना क़ुसूर मेरा ) -2
लाख मनाऊँ जिया न माने -2

आ मोरे बालम किसी बहाने
अम्बुवा पे गाए कोयलिया गाने
आ मोरे बालम किसी बहाने

( जबसे मिलाये नैना बालम तोसे
कछु नाहीं सूझे मइका कछू न बने है मोसे ) -2
रात-दिन जियरा लगा सताने -2

आ मोरे बालम किसी बहाने
अम्बुवा पे गाए कोयलिया गाने
आ मोरे बालम किसी बहाने

अम्बुवा पे गाए कोयलिया गाने
आ मोरे बालम किसी बहाने

 ",Pagdandi,1947,Khurshid Anwar,D N Madhok,Zeenat Begum?
