,Song,Film,Year,Music Director,Lyricist,Singers
8000,http://giitaayan.com/viewisbsong.asp?id=3457,Bhai,1944,Ghulam Haider,Khan Shatir Ghaznavi,"Zeenat Begum, Ghulam Haider"
8001,http://giitaayan.com/viewisbsong.asp?id=rmim0402,Munimji,1955,S D Burman,Sahir,Lata
8002,http://giitaayan.com/viewisbsong.asp?id=3458,Sajni,1956,Sudhir Phadke,Narendra Sharma,Lata
8003,http://giitaayan.com/viewisbsong.asp?id=3459,Bazaar,1949,Shyam Sundar,Qamar Jalalabadi,Lata
8004,http://giitaayan.com/viewisbsong.asp?id=rmim0025,Devdaas,1955,S D Burman,Sahir,"Geeta, Manna Dey"
8005,http://giitaayan.com/viewisbsong.asp?id=14092,Saajan,1969,Laxmikant-Pyarelal,Anand Bakshi,Rafi/ Lata
8006,http://giitaayan.com/viewisbsong.asp?id=10096,Aarzoo,1999,Annu Malik,Anand Bakshi,"Alka Yagnik, Chorus"
8007,http://giitaayan.com/viewisbsong.asp?id=13874,Rishtaa,1954,K Datta,Pt Phaani,Lata
8008,http://giitaayan.com/viewisbsong.asp?id=10737,Badnaam,1952,Basant Prakash,Hasrat,Lata
8009,http://giitaayan.com/viewisbsong.asp?id=14147,Saarangaa,1960,Sardar Malik,Bharat Vyas,"Lata, Rafi"
8010,http://giitaayan.com/viewisbsong.asp?id=12569,Khel,1950,Sajjad Hussain,Aarzoo Lakhnavi,Geeta
8011,http://giitaayan.com/viewisbsong.asp?id=14341,Taal,1999,A R Rahman,Anand Bakshi,"Richa Sharma, Sukhvindar Singh"
8012,http://giitaayan.com/viewisbsong.asp?id=1567,Sagina,1974,S D Burman,Majrooh,"Kishore, Pankaj Mitra"
8013,http://giitaayan.com/viewisbsong.asp?id=13105,Mirza Sahiban,1947,"Pt Amarnath, Husnalal-Bhagatram",Aziz Kashmiri,Zohra Bai
8014,http://giitaayan.com/viewisbsong.asp?id=2199,Jawani Diwani,1972,R D Burman,Anand Bakshi,Kishore
8015,http://giitaayan.com/viewisbsong.asp?id=12651,Love Birds,1996,A R Rahman,P K Mishra,Aslam Mustafa
8016,http://giitaayan.com/viewisbsong.asp?id=12368,Kuchh Dil Ne Kahaa,2000,Lalit Sen,Bipin Chandra Chaugule,"Udit Narayan, Anuradha Paudwal..."
8017,http://giitaayan.com/viewisbsong.asp?id=rmim0500,Dukh Sajnaan De (Pakistan),1968,Salim Iqbal,Rauf Sheikh,Noorjehan
8018,http://giitaayan.com/viewisbsong.asp?id=15516,Live In Concert 2 (Non-Film),2,,Jigar Muradabadi,Ghulam Ali
8019,http://giitaayan.com/viewisbsong.asp?id=11664,Geet,1944,Naushad,D N Madhok,Zohra Bai
8020,http://giitaayan.com/viewisbsong.asp?id=14277,Sahib Bibi Aur Ghulam,1962,Hemant Kumar,Shakeel,Asha
8021,http://giitaayan.com/viewisbsong.asp?id=1568,Saarangaa,1960,Sardar Malik,Bharat Vyas,Mukesh / Rafi
8022,http://giitaayan.com/viewisbsong.asp?id=21277,Aakaash,1953,Anil Biswas,Manmohan Sabir,Lata
8023,http://giitaayan.com/viewisbsong.asp?id=11318,Do Dil,1965,Hemant Kumar,Kaifi Azmi,"Rafi, Arti Mukherji"
8024,http://giitaayan.com/viewisbsong.asp?id=1569,Aanand Aashram,1977,Shyamal Mitra,Indeevar,"Kishore, Asha"
8025,http://giitaayan.com/viewisbsong.asp?id=11957,Inquilaab,1984,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Asha"
8026,http://giitaayan.com/viewisbsong.asp?id=15236,Teri Pooja Kare Sansaar,1984,S Madan,Thakur Tapasvi,"Mahendra Kapoor, Savita Sathi,..."
8027,http://giitaayan.com/viewisbsong.asp?id=12892,Main Teraa Dushman,1989,Laxmikant-Pyarelal,Indeevar,"Anuradha Paudwal, Mohammed Aziz"
8028,http://giitaayan.com/viewisbsong.asp?id=3193,Armaan/ The Desires,1981,Bappi Lahiri,Indeevar,Kishore
8029,http://giitaayan.com/viewisbsong.asp?id=1570,Apnaa Ghar,1960,Ravi,Iqbal,Sona Thakur
8030,http://giitaayan.com/viewisbsong.asp?id=21045,Tum Yaad Aaye (Non-film),1997,Raju Singh,Javed Akhtar,Alka Yagnik
