Song,Film,Year,Music Director,Lyricist,Singers
http://giitaayan.com/viewisbsong.asp?id=13512,Prem Deewaane,1992,Laxmikant-Pyarelal,Anand Bakshi,"Alka Yagnik, Udit Narayan"
http://giitaayan.com/viewisbsong.asp?id=11793,Hum Saath Saath Hain/ We Stand United,1999,Ram Laxman,Mitali Shashank,"Hariharan, Hema Sardesai, Shan..."
http://giitaayan.com/viewisbsong.asp?id=2001,Chori Chori,1956,Shankar-Jaikishan,Hasrat,Rafi
http://giitaayan.com/viewisbsong.asp?id=10356,April Fool,1964,Shankar-Jaikishan,Hasrat,Rafi
http://giitaayan.com/viewisbsong.asp?id=11776,Hello Brother,1999,Sajid-Wajid,Jaliis Shekhani,"Sonu Nigam, Hema Sardesai"
http://giitaayan.com/viewisbsong.asp?id=13900,Sur,2002,M M Kreem,Nida Fazli,Marijke Desouza
http://giitaayan.com/viewisbsong.asp?id=12422,Krodh/ Blast of Anger,2000,Anand-Milind,Deepak Choudhary,"Vinod Rathod, Sapana Mukherji,..."
http://giitaayan.com/viewisbsong.asp?id=11673,Ghar Ki Izzat,1948,Pt Gobindram,I C Kapoor,Meena Kapoor
http://giitaayan.com/viewisbsong.asp?id=12265,Jhankaar Beats,2003,Vishal-Shekhar,Vishal Dadlani,"Amit Kumar, Vishal Dadlani, Sh..."
http://giitaayan.com/viewisbsong.asp?id=rmim0850,Prem Nagar,1974,S D Burman,Anand Bakshi,"Kishore, Chorus"
http://giitaayan.com/viewisbsong.asp?id=14430,Trinetra,1991,Anand-Milind,Sameer,Kumar Sanu
http://giitaayan.com/viewisbsong.asp?id=11383,Dilli Kaa Thug,1958,Ravi,Majrooh,"Kishore, Asha"
http://giitaayan.com/viewisbsong.asp?id=10798,Censor,2001,Jatin-Lalit,Vinu Mahendra,"Vinod Rathod, Jaspindar Narula"
http://giitaayan.com/viewisbsong.asp?id=2251,Hum Aapke Hain Kaun,1994,Ram Laxman,Dev Kohli,Lata
http://giitaayan.com/viewisbsong.asp?id=3001,Saath Saath,1982,Kuldeep Singh,Javed Akhtar,
http://giitaayan.com/viewisbsong.asp?id=12008,Jeans,1998,A R Rahman,Javed Akhtar,Sonu Nigam
http://giitaayan.com/viewisbsong.asp?id=12649,Love Birds,1996,A R Rahman,P K Mishra,"Udit Narayan, Chorus"
http://giitaayan.com/viewisbsong.asp?id=3002,Sagaai,1951,C Ramchandra,Rajinder Krishan,"Lata, chorus"
http://giitaayan.com/viewisbsong.asp?id=2501,Hero,1983,Laxmikant-Pyarelal,Anand Bakshi,"Anuradha Paudwal, Manhar, chorus"
http://giitaayan.com/viewisbsong.asp?id=rmim0739,Hathkadi,1981,Bappi Lahiri,Majrooh,"Asha, Chorus"
http://giitaayan.com/viewisbsong.asp?id=1,Dream Girl,1977,Laxmikant-Pyarelal,Anand Bakshi,Kishore
http://giitaayan.com/viewisbsong.asp?id=2252,Jaan Tere Naam,1992,Nadeem-Shravan,,
http://giitaayan.com/viewisbsong.asp?id=11558,Gambler,1995,Annu Malik,Vinay Dave,"Vinod Rathod, Sadhana Sargam, ..."
http://giitaayan.com/viewisbsong.asp?id=10939,Charas,1976,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Lata"
http://giitaayan.com/viewisbsong.asp?id=2,Farz,1967,Laxmikant-Pyarelal,Anand Bakshi,Rafi
http://giitaayan.com/viewisbsong.asp?id=12376,Kya Yehi Pyaar Hai,2002,Sajid-Wajid,Jaliis Rashid,"Alka Yagnik, Kumar Sanu, Sonu ..."
http://giitaayan.com/viewisbsong.asp?id=rmim0020,Ham Aapke Dil Mein Rehte Hain,1999,Annu Malik,Sameer,"Sonu Nigam, Hema Sardesai, Rah..."
http://giitaayan.com/viewisbsong.asp?id=12170,Jungle Love,1990,Anand-Milind,Sameer,Anuradha Paudwal
http://giitaayan.com/viewisbsong.asp?id=13656,Paisa Vasool,2003,,,"Swastika, Vivek Mushran, Pandi..."
http://giitaayan.com/viewisbsong.asp?id=11003,Duniya Dilwalon Ki,1996,A R Rahman,"P K Mishra, Mehboob","Kaykay, Noell, Anupama"
http://giitaayan.com/viewisbsong.asp?id=10292,Actress,1948,Shyam Sundar,Raja Mehdi Ali Khan,"Shamshad, Lata, Chorus"
