Song,SongTitleEnglish,SongTitleHindi,Year,MovieEnglish,MovieHindi,Music Director,Lyricist,SingersEnglish,SingersHindi
"इट्स मैजिक, इट्स मैजिक
कच्चा नहीं कुछ भी, पक्का नहीं कुछ भी
होता है जो कुछ भी, सब खेल है
परदे के गिरते ही, परदे के उठते ही
बदला नहीं जो बदल सकता है
कच्चा नहीं कुछ भी...

दूर की चीज़ ही क्यों लगी है हसीं
पास की चीज़ का क्यों नहीं है यकीं
दिल ने कहा सबसे मगर
इन्सान तो दिल की सुनता नहीं
सुनता नहीं, सुनता नहीं
कच्चा नहीं कुछ भी...

आइये देखिये, देख के सोचिये
सोच के फिर मेरी बात को तोलिये
छोटा है जो छोटा नहीं
उसमें भी कोई बड़ी बात है
बड़ी बात है, बड़ी बात है
कच्चा नहीं कुछ भी...",It's Magic,इट्स मैजिक,2003, Koi Mil Gaya,कोई मिल गया,राजेश रोशन,इब्राहिम अश्क़,T.S. Jarnail,टी.एस. जरनैल
"जादू, जादू, जादू

आज धरती से गगन का
फूलों से चमन का
घटाओं से पवन का
हो रहा मिलन
जादू, जादू...

ये कैसा है तमाशा
नयी प्यार की है भाषा
अब कोई नहीं है निराशा
चुप हैं हम भी, चुप हो तुम भी
होती हैं सब बातें फिर भी
अरे कैसा रे हुआ ये अजूबा
जादू, जादू...

तुम्हे आँखों में बसाया
तुम्हे दिल में बिठाया
कोई तुमसे ना लेंगे किराया
तुम जो हमसे मिलने आये
हमने सपने नए सजाये
अब करलो निभाने का वादा
जादू, जादू...",Jaadoo,जादू,2003, Koi Mil Gaya,कोई मिल गया,राजेश रोशन,इब्राहिम अश्क़,"Alka Yagnik,  Udit Narayan","अल्का याग्निक, उदित नारायण"
"ख्वाबों, ख्यालों, ख्वाहिशों को चेहरा मिला
मेरे होने का मतलब मिला
कोई मिल गया, कोई मिल गया
हाँ कौन मिल गया, कोई मिल गया

यूँ तो हम तुम मिलने को मिलते रहे
पर क्यों आज ऐसा लगा
कोई मिल गया, कोई मिल गया
हाँ कौन मिल गया, कोई मिल गया

मुझसे मिल कर क्या होता है
ये बतलाओ ना, ये बतलाओ ना
बात ये हम कानों में कहेंगे
पास में आओ ना, पास में आओ ना
जो बात तुम कहोगे, वो बात मैं भी जानूँ
ये पास में आने की, मैं बात नहीं मानूँ
सुनो ना, सुनो ना, सुनो ना
यूँ तो बातें करने को करते रहे
पर क्यों आज ऐसा लगा
कोई मिल गया...

आ कर मेरे पास में तुम हो
जा कर भी हो पास, जा कर भी हो पास
इस एहसास के जैसा कोई
और नहीं एहसास, और नहीं एहसास
ये जो भी हो रहा है, क्यों जानता नहीं मैं
अपने ही दिल की बातें, पहचानता नहीं मैं
पहचानो, पहचानो, पहचानो
दिल तो अपना पहले भी धड़का किया
पर क्यों आज ऐसा लगा
कोई मिल गया...",Koi Mil Gaya,कोई मिल गया,2003, Title,कोई मिल गया,राजेश रोशन,इब्राहिम अश्क़,"Chitra K.S.,  Udit Narayan","चित्रा के.एस., उदित नारायण"
"इन पंछियों को देख कर
जागे हैं ये अरमाँधरती पे हम चलते हैं पर
छू लेंगे आसमाँ
इन पंछियों को...

ये बताओ ज़रा, हम पंखों बिना
जायेंगे कैसे दूर वहाँ
कुछ भी हो सकता है
कुछ भी हो जायेगा
हम इतने नहीं नादां
इन पंछियों को...

देखते जाओ तुम, ऐसा भी एक दिन
एक दिन तो ज़रूर आएगा
हम से इस दुनिया में, एक दिन हर कोई
जब हाथ मिलाएगा

गले से लगा लेंगी तुमको ख़ुशी
बदल जाएगी एक दिन ज़िन्दगी
ये क़दमों में झुक जायेगा आसमाँ
तुम जैसा कोई भी ना होगा यहाँ
इन पंछियों को...",In Panchhiyon Ko Dekhkar,इन पंछियों को देखकर,2003, Koi Mil Gaya,कोई मिल गया,राजेश रोशन,इब्राहिम अश्क़,"Shaan,  Baby Sneha,  Kavita Krishnamurthy","शान, बेबी स्नेहा, कविता कृष्णमूर्ति"
"आँख मिला के पूछे
हाई हाऊ आर यू
(हाई हाऊ आर यू
हाई हाऊ आर यू)
हाथ मिला के पूछे
हाऊ डू यू डू
(हाऊ डू यू डू
हाऊ डू यू डू)

आँख मिला के पूछे
हाई हाऊ आर यू
हाथ मिला के पूछे
हाऊ डू यू डू
स्टाइल पे उसकी स्माइल पे उसकी
हाय तबीयत भड़की
शहर की लड़की

शहर की, शहर की
शहर की, शहर की
शहर की, शहर की
शहर की, लड़की

मस्ती में घूमे घूमे
घूमे घूमे आ हा हा
बाहों में झूमे झूमे
झूमे झूमे बात बरा
हाय हाय ज़ालिम फिगर
तेरी मचलती नज़र
मेरा बदन चूमे चूमे
चूमे, चूमे
आँख मिला के पूछे...

ओह माय गॉड लड़की ज़हर
कौन सा सिटी तेरी, कौन सा शहर
बेबी है डेंजर, लगती है स्ट्रेंजर
कैफीनेशन ऑफ कहर
येस
लड़की हॉट नि बहोत ही हॉट है
आग पकड़ती है लड़कों की मौत है
शॉट लगती है धक्के तू खाती है
थकती नहीं है स्टैमिना बहोत है

हाय गली गली घुमे
मेरे आगे पीछे झूमे
हाय नज़र ना लग जाये मुझको
ब्यूटी मेरी है, कैफ़ीन की गोली जैसे
नशा ना चढ़ जाए तुझको
फिगर पे तेरी सब मरते हैं
स्कैन पूरा तुझे करते हैं
लम्बी लम्बी साँसें भरते हैं
बट टच करने से डरते हैं

रोज़ तू आके पूछे
हाई हाऊ आर यू
बाल गिरा के पूछे
हाऊ डू यू डू
मुंबई की बरसात में जैसे
झूम के बिजली कड़की
शहर की लड़की

शहर की, शहर की...",Shehar Ki Ladki,शहर की लड़की,2019, Khandaani Shafakhana,खानदानी शफाखाना,तनिष्क बागची,"तनिष्क बागची, दीपक चौधरी","Badshah,  Anand-Milind,  Tulsi,  Abhijeet,  Chandra","बादशाह, आनंद-मिलिंद, तुलसी कुमार, अभिजीत, चंद्रा दीक्षित"
"सच्चियाँ मोहब्बताँ निभावाँगा
रांझेया मैं तेरा कहलावाँगा
इक वारी दिल लग जाने दे
दिल दा करार बन जावाँगा

सच्चियाँ मोहब्बताँ निभावाँगी
हीरिये मैं तेरी कहलावाँगी
इक वारी दिल लग जाणे दे
दिल दा करार बण जावाँगी

इल्तेजा दिल दी है
इक पहल इश्क की, होने दे
दिल जाणिये मैनू जी लैण दे
दो लफ्ज़-ए-मोहब्बत कह लैण दे
दिल जाणिये मैनु जी लैण दे
दो लफ्ज़-ए-मोहब्बत कह लैण दे

दिन रात तुझे मैं देखा करूँ
आँखों की यही बस चाहत है
मैं कैद हूँ तेरी लकीरों में
तेरे साथ ही मेरी किस्मत है
जीत की हार की
इक पहल प्यार की, होने दे
दिल जाणिये मैनु जी लैण दे...

मेरा रब तुझमें ही वसदा ए
दिल करता तेरी इबादत है
नज़दीक है लेकिन कह ना सके
मुझको तेरी ही आदत है
बेवजह जीने की
हौले हौले से दिल, खोने दे
दिल जाणिये मैनु जी लैण दे...",Dil Jaaniye,दिल जानिये,2019, Khandaani Shafakhana,खानदानी शफाखाना,पायल देव,शब्बीर अहमद,"Jubin Nautiyal,  Tulsi Kumar","ज़ुबिन नौटियाल, तुलसी कुमार"
"देखा है, ख़्वाबों को बिखरते हुए
ग़मों से घर भरते हुए
मैंने देखा है, मंज़िलों से पहले कहीं
ख़्वाहिशों को डरते हुए
लगता है मुझसे ही हो के
गुज़रे हैं सारे गम
कैसे ना भीगे मन
भीगे नैना, कारे दिन
कारी रैना, भीगे मन
भीगे नैना, कारे दिन
कारी रैना
इस कदर हारी हूँ मैं
टूटे दिल छूटे चैना
भीगे मन, भीगे मन, भीगे मन

किसको कहूँ मैं हाल मेरा जब
रूठा है सारा ही जहां
रूठा है सारा ही जहां
तारों से था जिसको सजाया
सूना हुआ वो आसमां
देखा है, ज़िन्दगी में जो रंग थे
सभी को फीका पड़ते हुए
मैंने देखा है, साहिलों से पहले कहीं
लहरों को बिछड़ते हुए
लगता है किस्मतों में
अब तो लिखा है खालीपन
कैसे ना भीगे मन
भीगे नैना, कारे दिन...",Bheege Mann,भीगे मन,2019, Khandaani Shafakhana,खानदानी शफाखाना,रोचक कोहली,"गौतम जी शर्मा, गुरप्रीत सैनी",Altamash Faridi,अल्तमश फरीदी
"अगला गाणा तुस्सी सुनोगे
पंजाब दे तड़कीले ते भड़कीले नौजवान
गबरू घातक दी आवाज़’च
इस गाणे दी फरमाइश कित्ती है
लुधिआणे तों सुखविंदर सिंह
होशिआरपुर तों बीबी बेदी
ते अजरोर तों मिंटू जी ने
पेश है बम्ब गाणा
(क्यूँकि, क्यूँकि, क्यूँकि
क्यूँ, क्यूँकि, क्यूँकि
ऑलराइट)

चंडीगढ़ पिच्छे सारा
लाके तू रखियाँ रखियाँ
सोलह तों छब्बी एक दा
बर्बरा ब्रैकेट सारा
ब्रिंग दैट बैक

चंडीगढ़ पिच्छे सारा
लाके तू राखियाँ नी
सोलह तों छब्बी एक दा
ब्रैकेट सारा पट्टेया नी
निकले जब तू सड़कों पे
आते जाते लड़कों के
ऐंवे बीपी से खेले, ले ले ले

रुक जा बेबी सांस तो ले ले
सांस तो ले ले
(ब्रेकेट मरिया)

ओ बेबी प्लान बनाती है
पर कभी ना टैम पे आती है
बट जब नैन मिलाती है
तो ट्रैफिक जैम कराती है
बेबी क्रेज़ी है
नाचे क्लब में ज़ोर लगा के
बेबी में बड़ी तेजी है
बिना पंख के मोर बणा दे

ये माल थोड़ा मवाली ए
हर सेन्टेंस में गाली ए
ना बम्ब है ना पटाखा है
ये लड़की पूरी दीवाली ए, बूम
ब्रिंग दैट बैक

अम्बरसर रखदी करा के
कुड़िये बैंग बैंग तू
चक्करां विच पाके रखदी
तू मुंडेया दी गैंग नू
अम्बरसर रखदी कराके...
गबरू वी तेरे पीछे
है सेंटीमेंटल नी
एन्ना वी रुड ना बण तू
बण थोड़ा जेंटल नी
दुनिया तेरा पाणी भरती
अक्खां नाल गल्लां करदी
छड दी ना कुछ वी पल्ले, ले ले ले
रुक जा बेबी सांस तो ले ले
सांस तो ले ले
इट्स योर बॉय गबरू",Saans To Le Le,साँस तो ले ले,2019, Khandaani Shafakhana,खानदानी शफाखाना,बादशाह,बादशाह,"Badshah,  Rico","बादशाह, रीको"
"कोका कोका
कोका कोका
कोका कोका
और सुनना है तो सब्सक्राइब करो टी-सीरीज़

हो दिल वाली गल कर ले
हो आजा मेरा हथ फड़ ले
हो आजा मेरे नाल नच ले
किसने तुझको रोका
हो कन्नी डायमंड झुमके
हो सोना जैसे तेरे ठुमके
हो गल्ला मेरी जायी सुणके
तुझे रब ने बनाया अनोखा
ना तड़फ़ा बेबी कर दे तू हाँ
मेरा कर दे है जीणा सोखा

कोका कोका
कोका, तेरा कुछ कुछ कहेंदा नि
कोका, तेरा कुछ कुछ कहेंदा नि
लहंगा, तेरा लूट पूट लहंगा नि
कोका
कोका, मेरा कुछ कुछ कहेंदा नि
कोका, मेरा कुछ कुछ कहेंदा नि
कोका, मेरा कुछ कुछ कहेंदा नि
कोका
हाय नि तेरा कोका कोका कोका कोका
कोका

फ्लोर पे चक्कर काटे जैसे लट्टू
बेबी तू है टोटा तेरे आजू बाजू टट्टू
हिलती है जैसे बनी हो रबड़ की
आज ना रुकने वाली है ये लड़की
क्यूँकि
कान में आ इक बात बताऊँ
दिखता भी बढ़िया हूँ, अच्छा कमाऊँ
तू बोले तो मम्मी से कह के
तेरे मेरे रिश्ते की बात चलाऊँ
हाय शरमा गयी

हँसदी हँसादी मेरी सखियाँ
बाकी बातें करे तेरी अखियाँ
लगता है तू है कोई चीटर
करता है गल्ला सारी झुठियाँ
दिल क्या है बेबी मैं तो जान वार दूँ
नौ लखा तेरे उत्ते हार वार दूँ
लॉयल रहूँगा तेरे नखरे सहूँगा
इक वारी सानू दे दे मौका
कोका कोका...",Koka,कोका,2019, Khandaani Shafakhana,खानदानी शफाखाना,तनिष्क बागची,"तनिष्क बागची, मेल्लो डी","Jasbir,  Badshah,  Dhvani","जसबीर जस्सी, बादशाह, ध्वनि भानुशाली"
"अपनी तकदीर जो
अपने हाथों लिखे
अपनी हस्ती बना सके
राजा या रंक हो
जग उसके संग हो
ज़्यादा जो अंक पा सके
नियम हो, नियम हो, नियम हो
जहां का नया ये नियम हो

बेड़ी अज्ञान की
पिघला के ज्ञान से
बंदी सपने छुड़ा सके
बंदी सपने छुड़ा सके
कुदरत ने एक सा
हक सबको है दिया
सब हक अपना कमा सकें
नियम हो, नियम हो...

कोई हुनर जिसमें हो
समय उसका ही बदलता है
ओ माटी नज़र आता हो
पिघलकर सोना उगलता है
क्या लेना ज़ात से
क्या लेना नाम से
पहचानें सबको उनके काम से
बोये दस्तूर ने, जितने मतभेद हैं
उनको जड़ से मिटा सकें
राजा या रंक हो...",Niyam Ho,नियम हो,2019,Super 30,सुपर 30,अजय-अतुल,अमिताभ भट्टाचार्य,,विविध कलाकार
