,Song,Film,Year,Music Director,Lyricist,Singers
1000,http://giitaayan.com/viewisbsong.asp?id=202,Guide,1965,S D Burman,Shailendra,S D Burman
1001,http://giitaayan.com/viewisbsong.asp?id=203,Hum Dono,1961,Jaidev,Sahir,"Lata, chorus"
1002,http://giitaayan.com/viewisbsong.asp?id=12118,Jaanbaaz,1986,Kalyanji-Anandji,Farooq Kaisar,"Mahesh Gadwi, Raju"
1003,http://giitaayan.com/viewisbsong.asp?id=10377,Alibaba And Forty Theives,1966,Usha Khanna,Asad Bhopali,Rafi
1004,http://giitaayan.com/viewisbsong.asp?id=10308,Aman,1967,Shankar-Jaikishan,Hasrat,Rafi
1005,http://giitaayan.com/viewisbsong.asp?id=204,Kaadambari,1975,Vilayat Ali Khan,Amrita Pritam,Asha
1006,http://giitaayan.com/viewisbsong.asp?id=rmim0215,Sabak,1950,A R Qureshi,D N Madhok,"Surinder Kaur, Asha, Premlata,..."
1007,http://giitaayan.com/viewisbsong.asp?id=3271,Dahej,1950,Vasant Desai,Shums Lucknowi,Jayshree
1008,http://giitaayan.com/viewisbsong.asp?id=14576,Vidyapati,1937,R C Boral,Kedar Sharma,"Kanan Devi, Dhumi Khan"
1009,http://giitaayan.com/viewisbsong.asp?id=14767,Pagdandi,1947,Khurshid Anwar,D N Madhok,Zeenat Begum?
1010,http://giitaayan.com/viewisbsong.asp?id=rmim0502,Moorti,1945,Bulo C Rani,Pt Indra,Khursheed
1011,http://giitaayan.com/viewisbsong.asp?id=10221,Aadmi Sadak Ka,1977,Ravi,Verma Malik,"Rafi/ Rafi, Ravi, Deven Verma"
1012,http://giitaayan.com/viewisbsong.asp?id=15201,Rani Rupmati,1959,S N Tripathi,Bharat Vyas,"Lata, Rafi"
1013,http://giitaayan.com/viewisbsong.asp?id=14009,Stuntman,1994,Nadeem-Shravan,Sameer,Bali Brahmbhat
1014,http://giitaayan.com/viewisbsong.asp?id=10787,Chori Chori,2002,Sajid-Wajid,Ameer Khusro,"Afroz Bano, Farida Khan"
1015,http://giitaayan.com/viewisbsong.asp?id=3272,Sansaar,1951,M D Parthsarthi,Pt Indra,"Lata, Chorus"
1016,http://giitaayan.com/viewisbsong.asp?id=14799,Bahut Din Huye,1954,B S Kalla,Pt Indra,"Lata, Female?/ Lata"
1017,http://giitaayan.com/viewisbsong.asp?id=10318,Amar Akbar Anthony,1977,Laxmikant-Pyarelal,Anand Bakshi,"Kishore, Mahendra Kapoor, Shai..."
1018,http://giitaayan.com/viewisbsong.asp?id=20703,Ganga Meri Maa,1982,R D Burman,Gulshan Bawra,Asha
1019,http://giitaayan.com/viewisbsong.asp?id=12787,Mujhse Dosti Karoge,2002,Rahul Sharma,Anand Bakshi,"Lata, Udit Narayan"
1020,http://giitaayan.com/viewisbsong.asp?id=14282,Shehanshaah,1988,Amar-Utpal,Anand Bakshi,Kishore
1021,http://giitaayan.com/viewisbsong.asp?id=3025,Zindagi Yaa Toofaan,1958,Nashad,Nakshab,"Shamshad, Asha"
1022,http://giitaayan.com/viewisbsong.asp?id=11899,Hum Sab Chor Hain,1956,O P Nayyar,Majrooh,Asha
1023,http://giitaayan.com/viewisbsong.asp?id=14577,Vidyapati,1937,R C Boral,Kedar Sharma,K C Dey
1024,http://giitaayan.com/viewisbsong.asp?id=2028,Aazaad,1955,C Ramchandra,Rajinder Krishan,"Lata, Usha"
1025,http://giitaayan.com/viewisbsong.asp?id=rmim0178,Mumtaaz Mahal,1957,Vinod,Hasrat,"Talat, Sudha Malhotra"
1026,http://giitaayan.com/viewisbsong.asp?id=10402,Anokhaa,1975,Kalyanji-Anandji,Indeevar,Mukesh
1027,http://giitaayan.com/viewisbsong.asp?id=205,Kaafir,1960,Khayyam,Sahir,Asha
1028,http://giitaayan.com/viewisbsong.asp?id=2029,(Non-Film),1966,C K Chauhan,Farouq Qaiser,Jagjit Singh
1029,http://giitaayan.com/viewisbsong.asp?id=10691,Bhaai Bhaai,1956,Madan Mohan,Rajinder Krishan,Rafi
1030,http://giitaayan.com/viewisbsong.asp?id=13338,Natak,1947,Naushad,Khumar Barabankwi,Suraiya
1031,http://giitaayan.com/viewisbsong.asp?id=13243,Nayaa Andaaz,1956,O P Nayyar,Jaan Nisar Akhtar,Kishore
1032,http://giitaayan.com/viewisbsong.asp?id=206,Shankar Hussain,1977,Khayyam,Kaif Bhopali,Lata
1033,http://giitaayan.com/viewisbsong.asp?id=14814,Bandhan,1940,Saraswati Devi,Pradeep,"Leela Chitnis, Suresh"
1034,http://giitaayan.com/viewisbsong.asp?id=11898,Hawas,1974,Usha Khanna,Saawan Kumar,Asha
1035,http://giitaayan.com/viewisbsong.asp?id=2525,Betaab,1983,R D Burman,Anand Bakshi,"Shabbir Kumar, Lata"
1036,http://giitaayan.com/viewisbsong.asp?id=207,Gambler,1971,S D Burman,Neeraj,"Kishore, Lata"
1037,http://giitaayan.com/viewisbsong.asp?id=12716,Lafange,1975,Laxmikant-Pyarelal,Anand Bakshi,Kishore
1038,http://giitaayan.com/viewisbsong.asp?id=20772,Marine Drive,1955,N Dutta,Sahir,Lata
1039,http://giitaayan.com/viewisbsong.asp?id=13004,Mehndi,1958,Ravi,Khumar Barabankwi,Lata
1040,http://giitaayan.com/viewisbsong.asp?id=208,Baadal,1966,Usha Khanna,Javed Anwar,Manna Dey
1041,http://giitaayan.com/viewisbsong.asp?id=rmim0183,Yahoodi Ki Ladki,1933,Pankaj Mullick,,Ratanbai
1042,http://giitaayan.com/viewisbsong.asp?id=3274,Bhaijan,1945,Shyam Sundar,Padatau Lakhanavii,Noorjehan/ Zeenat Begum
1043,http://giitaayan.com/viewisbsong.asp?id=2526,Barsaat Ki Ek Raat,1981,R D Burman,Anand Bakshi,"Lata, Kishore"
1044,http://giitaayan.com/viewisbsong.asp?id=14590,Waah Tera Kya Kehna,2002,Jatin-Lalit,Sameer,"Roop Kumar Rathod, Kavita Subr..."
1045,http://giitaayan.com/viewisbsong.asp?id=209,Thokar,1974,Shamji Ghanshamji,Saajan Dehlavi,Rafi
1046,http://giitaayan.com/viewisbsong.asp?id=210,Leader,1964,Naushad,Shakeel,Rafi
1047,http://giitaayan.com/viewisbsong.asp?id=13701,Qaatil,1988,Laxmikant-Pyarelal,Sameer,"Alka Yagnik, Mohammed Aziz"
1048,http://giitaayan.com/viewisbsong.asp?id=3276,Wafa,1950,Bulo C Rani,Aziz Kashmiri,Lata
1049,http://giitaayan.com/viewisbsong.asp?id=12998,Maayaa Baazaar,1958,Chitragupt,Indeevar,Rafi
1050,http://giitaayan.com/viewisbsong.asp?id=13651,Paap,2003,Annu Malik,Sayeed Quadri,"Anuradha Paudwal, Udit Narayan"
1051,http://giitaayan.com/viewisbsong.asp?id=15266,Dillagee (Non-Film),1993,Rafique Husain,Farhat Shahzad/ Khalid Shareef,Ghulam Ali
1052,http://giitaayan.com/viewisbsong.asp?id=211,Parchhaain,1952,C Ramchandra,Noor Lucknowi,"Lata, Talat"
1053,http://giitaayan.com/viewisbsong.asp?id=14539,Vaastav/ The Reality,1999,Rahul Ranade,Gautam Joglekar,"Shankar Mahadevan, Chorus"
1054,http://giitaayan.com/viewisbsong.asp?id=2771,Subah Kaa Taaraa,1954,C Ramchandra,Noor Lucknowi,Talat
1055,http://giitaayan.com/viewisbsong.asp?id=2772,Hum Log,1951,Roshan,Udhav Kumar,Mukesh
1056,http://giitaayan.com/viewisbsong.asp?id=12226,Jeewan Rekhaa,1974,J Jagdish,Dev Kohli,Mukesh
1057,http://giitaayan.com/viewisbsong.asp?id=11265,Dharam-Veer,1977,Laxmikant-Pyarelal,Anand Bakshi,Rafi
1058,http://giitaayan.com/viewisbsong.asp?id=rmim0532,Sabz Baagh,1951,Vinod,Aziz Kashmiri,"Rafi, Asha"
1059,http://giitaayan.com/viewisbsong.asp?id=15267,Enchanting Hour (Non-Film),1984,,Shehzad Ahmed,Ghulam Ali
1060,http://giitaayan.com/viewisbsong.asp?id=13444,Pyaar Koi Khel Nahin,1999,Jatin-Lalit,Majrooh,"Asha, Chorus"
1061,http://giitaayan.com/viewisbsong.asp?id=2527,Kala Bazar,1960,S D Burman,Shailendra,Rafi
1062,http://giitaayan.com/viewisbsong.asp?id=14155,Sasural,1961,Shankar-Jaikishan,Hasrat,"Mukesh, Lata"
1063,http://giitaayan.com/viewisbsong.asp?id=13434,Pyaar Ishq Aur Mohabbat,2001,Viju Shah,Anand Bakshi,Shaan
1064,http://giitaayan.com/viewisbsong.asp?id=12238,Judaai,1980,Laxmikant-Pyarelal,Anand Bakshi,Rafi
1065,http://giitaayan.com/viewisbsong.asp?id=21275,Mere Jeevan Saathi,1972,R D Burman,Majrooh,Kishore
1066,http://giitaayan.com/viewisbsong.asp?id=3278,Paraye Bas Men,1946,Vinod,,Zeenat Begum
1067,http://giitaayan.com/viewisbsong.asp?id=12030,Josh,2001,Annu Malik,Nitin Raikwar,"Hema Sardesai, Shahrukh Khan"
1068,http://giitaayan.com/viewisbsong.asp?id=rmim0428,Wafa,1950,Bulo C Rani,Hasrat,"Mukesh, Lata"
1069,http://giitaayan.com/viewisbsong.asp?id=212,Jaan Pahechan,1950,Khemchand Prakash,Shakeel,"Talat, Geeta"
1070,http://giitaayan.com/viewisbsong.asp?id=rmim0598,Shirin Farhaad,1945,Rashid Attre,Dinanath Madhok,Shamshad Begum
1071,http://giitaayan.com/viewisbsong.asp?id=2773,Ardh Satya,1983,Ajit Varman,Dilip Chitre,
1072,http://giitaayan.com/viewisbsong.asp?id=12591,Kabeelaa,1976,Kalyanji-Anandji,Farooq Kaisar,Kishore
1073,http://giitaayan.com/viewisbsong.asp?id=12129,Jaadugar,1989,Kalyanji-Anandji,Prakash Mehra,"Kumar Sanu, Alka Yagnik"
1074,http://giitaayan.com/viewisbsong.asp?id=15222,Dhool Ka Phool,1959,N Dutta,Sahir,"Mahendra Kapoor, Sudha Malhotr..."
1075,http://giitaayan.com/viewisbsong.asp?id=11949,Insaaf/ The Final Justice,1997,Anand-Milind,Sameer,"Akshay Kumar, Shilpa Shetty, R..."
1076,http://giitaayan.com/viewisbsong.asp?id=15186,Shin Shinaaki Booblaa Boo,1952,C Ramchandra,P L Santoshi,"Lata, Kishore, Chorus"
1077,http://giitaayan.com/viewisbsong.asp?id=12017,Jis Desh Mein Gangaa Rehtaa Hai,2000,Anand Raj Anand,"Dev Kohli, Pravin Bhardwaj",Atul Kale
1078,http://giitaayan.com/viewisbsong.asp?id=2774,Nai Dilli / New Delhi,1956,Shankar-Jaikishan,Shailendra,Kishore
1079,http://giitaayan.com/viewisbsong.asp?id=14206,Shrimanji,1968,O P Nayyar,Ajiz Kashmiri,"Kishore, Mahendra Kapoor"
1080,http://giitaayan.com/viewisbsong.asp?id=14984,Sargam,1950,C Ramchandra,P L Santoshi,"Lata, Chitalkar"
1081,http://giitaayan.com/viewisbsong.asp?id=214,Kaagaz Ke Phool,1959,S D Burman,Kaifi Azmi,Rafi
1082,http://giitaayan.com/viewisbsong.asp?id=13002,Meena Bazar,1950,Husnlal-Bhagatram,Qamar Jalalabadi,Rafi
1083,http://giitaayan.com/viewisbsong.asp?id=11328,Don,1978,Kalyanji-Anandji,Anjaan,Kishore
1084,http://giitaayan.com/viewisbsong.asp?id=14562,Vishwaatmaa,1992,Viju Shah,Anand Bakshi,"Udit Narayan, Sapana Mukherji,..."
1085,http://giitaayan.com/viewisbsong.asp?id=14563,Vote For Ghaghra (Non-Film),1996,Ila Arun,Ila Arun,Ila Arun
1086,http://giitaayan.com/viewisbsong.asp?id=13642,Parwana,2003,Sanjeev-Darshan,Sameer,Vinod Rathod
